id	gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	clase	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	author_id
1	352077106																										UPS:BOT:L-025015										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-025015	L-025015		Mats Wedin																											1830	1989-03-11T00:00:00Z				1989	3	11		Nothofagus - Saxegothea - Fitzroya forest, near waterfall. On twigs of  Tepualia										SOUTH_AMERICA				AR	Neuquén			Nahuel Huapi Nat. Park, along track from Pto. Blest to Laguna los  Cantaros, along the river below Cascada los Cantaros																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.956Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.956Z	2020-02-06T14:03:20.842Z	true			1
2	352091876																										UPS:BOT:L-096422										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-096422	L-096422		I.M. Lamb																											6011	1950-02-12T00:00:00Z				1950	2	12		Over mosses at base of dead tree in the forest										SOUTH_AMERICA				AR	Río Negro			Patagonia, Lago Frias, near the Chilean boundary																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.966Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.966Z	2020-02-06T14:03:20.842Z	true			1
3	1052029108																										UPS:BOT:L-002479										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-002479	L-002479		A.R. Cuezzoy & E. de la Sota																Collected 13-15.IV.1957												1957-04-13T00:00:00Z				1957	4	13		Matrix: Didymochlaena truncatula										SOUTH_AMERICA				AR	Misiones			Puerto Iguazu																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.990Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.990Z	2020-02-06T14:03:20.842Z	true			1
4	1052029117																										UPS:BOT:L-002482										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-002482	L-002482		A.R. Cuezzoy & E. de la Sota																Collected 13-15.IV.1957											2859	1957-04-13T00:00:00Z				1957	4	13		Leaves										SOUTH_AMERICA				AR	Misiones			Puerto Iguazu																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.990Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.990Z	2020-02-06T14:03:20.842Z	true			1
5	1052029531																										UPS:BOT:L-013922										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-013922	L-013922		Leif Tibell																											17465	1989-01-06T00:00:00Z				1989	1	6												SOUTH_AMERICA				AR	Tierra del Fuego			Ca 4 km NW of Ushuaia, Glaciar Martial. Above upper end station of  chairlift, at timberline. In low Nothofagus pumilio forest near forest  limit. On cow dung																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.991Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.991Z	2020-02-06T14:03:20.842Z	true			1
6	1052029559																										UPS:BOT:L-014052										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-014052	L-014052		Leif Tibell																											17595	1989-01-07T00:00:00Z				1989	1	7												SOUTH_AMERICA				AR	Tierra del Fuego			Tierra del Fuego National Park, ca 16 km W of Ushuaia, E shore of Lago   Roca. In rather open, Nothofagus pumilio dominated forest. On horse-dung  in Nothofagus forest																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.991Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.991Z	2020-02-06T14:03:20.842Z	true			1
7	1052029577																										UPS:BOT:L-014048										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-014048	L-014048		Leif Tibell																											17591	1989-01-07T00:00:00Z				1989	1	7												SOUTH_AMERICA				AR	Tierra del Fuego			Tierra del Fuego National Park, ca 16 km W of Ushuaia, E shore of Lago  Roca. In rather open, Nothofagus pumilio dominated forest. On horse-dung  in Nothofagus forest																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.991Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.991Z	2020-02-06T14:03:20.842Z	true			1
8	1052029586																										UPS:BOT:L-014287										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-014287	L-014287		Mats Wedin																											1820	1989-03-11T00:00:00Z				1989	3	11		Matrix: On Sphaerophorus cf. patagonicus										SOUTH_AMERICA				AR	Río Negro			Nahuel Huapi Nat. Park. N shore of Lago Frias, at Puerto Alegre.  Nothofagus-Saxegothea forest. On overhanging trunk of Nothofagus ca 6 m up																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.991Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.991Z	2020-02-06T14:03:20.842Z	true			1
9	1052029720																										UPS:BOT:L-015931										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-015931	L-015931		Leif Tibell																											17690	1989-01-10T00:00:00Z				1989	1	10												SOUTH_AMERICA				AR	Tierra del Fuego			Tierra del Fuego. Ca 36 km ENE of Ushuaia, W side of Paso Garibaldi. On  bog at a stream. On goose dung																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.991Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.991Z	2020-02-06T14:03:20.842Z	true			1
10	1052030908																										UPS:BOT:L-087784										CC0_1_0					GBIF-Sweden																		UPS	BOT	Botany (UPS)		PRESERVED_SPECIMEN				UPS:BOT:L-087784	L-087784		Mats Wedin																											1876b	1989-03-14T00:00:00Z				1989	3	14		Nothofagus pumilio forest on S exposed slope along a stream, on trunk  of N. pumilio. Matrix: Protousnea										SOUTH_AMERICA				AR	Río Negro			Nahuel Huapi Nat. Park. 16 km SW Bariloche, W of Lago Gutierrez, along  Arroyo Van Titer																																																										incertae sedis								incertae sedis									KINGDOM							c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2020-02-10T23:25:09.994Z							TAXON_MATCH_NONE		false	false	0		0												DWC_ARCHIVE	2020-02-10T23:25:09.994Z	2020-02-06T14:03:20.842Z	true			1
